,created_at,text,coordinates
0,2013-12-31 07:14:22+00:00,Boom bitch get out the way! #drunk #islands #girlsnight  #BJs #hookah #zephyrs #boulder #marines… http://t.co/uYmu7c4o0x,"[-118.10041174, 34.14628356]"
1,2013-12-30 20:29:20+00:00,Story of my life! 😂 #boulder http://t.co/ZMfNKEl0xD,"[0.13429814, 52.22500698]"
2,2014-01-01 06:12:15+00:00,Happy New Year #Boulder !!!! What are some of your New Years resolutions this year?,"[144.98467167, -37.80312131]"
3,2013-12-31 22:48:10+00:00,Last sunset here in #boulder #flatirons @ Dushanbe Teahouse http://t.co/9rvCNWCChv,"[-105.27725101, 40.01544423]"
4,2014-01-01 04:57:01+00:00,Ringing in the #NewYear @BMoCA for their NYE at the Factory event! Surrounded by #art and Warholesque fun :) #Boulder,"[-105.2769568, 40.01579474]"
5,2013-12-31 23:30:21+00:00,#Louisville #sunset #Colorado #Boulder #Flatirons @ Hunter's Ridge http://t.co/sh5qA39rPU,"[-105.14533765, 39.98767028]"
6,2013-12-31 15:38:35+00:00,"When the wind feels like it wants to destroy the chimney, i know it's going to be an interesting bike commute #Boulder","[-105.23082163, 39.99946795]"
7,2013-12-31 23:00:48+00:00,Clasped hands #rockwall #boulder @ Hangar 18 Indoor Climbing Gym http://t.co/TEjW3Txt6v,"[-118.36457491, 33.90057323]"
8,2014-01-01 00:10:49+00:00,Can't you read the sign? Bridge is out still at South Boulder Creek #boulderflood #boco_Trails @ South… http://t.co/PMwLrssnvv,"[-105.22207764, 39.98664341]"
9,2013-12-31 03:58:41+00:00,"“@EricRobertson: Second winter sky shot. #colorado #nightsky #cowx http://t.co/fzx0NsXM5j”

Awesome! Need to get to CO","[-74.12520647, 40.10432876]"
10,2014-01-01 03:36:11+00:00,Happy New Year to our #Boulder community family &amp; friends! We are grateful to begin another year in such an amazing city!,"[-105.03197389, 39.93687082]"
11,2014-01-01 05:13:50+00:00,#boulder @ Centro Latin Kitchen &amp; Refreshment Palace http://t.co/cm7cXv1ptf,"[-105.282502, 40.01724753]"
12,2013-12-31 00:31:09+00:00,Heads up @diana_m_lind and @bruce_katz ..The two hottest #SiliconCities in my estimation are #Denver and #Boulder http://t.co/onkW451MRw,"[-104.89177055, 39.70941648]"
13,2013-12-31 23:55:10+00:00,"#NYE2013 @SaltBistro #vegan caviar starter...yes #Boulder, we have ALL of you covered this NYE http://t.co/kLFoWk6pxP","[-105.28138182, 40.01772222]"
14,2014-01-01 06:59:33+00:00,#boulder #pescado @ Jax Fish House Boulder http://t.co/YsIbRyY1ix,"[-105.283146, 40.01718]"
15,2013-12-31 18:39:24+00:00,"@jhughes722 EURO now produces &gt;0.20""; hard to ignore blend of that + GFS (~0.15"") over NAM/SREF which are essentially dry. #Denver #COwx","[-104.97910699, 39.73105091]"
16,2013-12-30 19:07:56+00:00,Stoked to be on the front page of the @DailyCamera newspaper today! #boulder http://t.co/jMElTYvVKm,"[-105.27294396, 40.01931459]"
17,2013-12-31 21:55:26+00:00,#boulder #colorado #mountain #skyscape of the day! @ Meadows Shopping Center http://t.co/dPk9uhM95i,"[-105.23453395, 39.99897714]"
18,2013-12-31 23:49:00+00:00,#NewYearsEve @TahonaBistro will be the most live #danceparty of the year.  If you are on Pearl in #Boulder This is where the #party is at.,"[-105.27925649, 40.04113664]"
19,2013-12-30 23:25:56+00:00,Rude awakening back in #boulder today. 4 workouts completed...I think Curt's trying to kill me #training,"[-105.25264863, 39.99189232]"
20,2013-12-30 20:08:15+00:00,Gotta love #Boulder.  This was outside the doctors office. @ Wonderland Lake Park http://t.co/uEKlxYVk6l,"[-105.28807801, 40.04802613]"
21,2013-12-30 01:21:10+00:00,I found the #boulder tundra @ Lost Lake http://t.co/ceWVgHaeQn,"[-105.2689, 40.021]"
22,2013-12-29 21:11:12+00:00,Sunday brunch in #Boulder @ Dushanbe Teahouse http://t.co/Z8fKJcF76f,"[-105.27725101, 40.01544423]"
23,2013-12-29 04:11:59+00:00,Whats good in Boulder tonight? #CUBoulder #Boulder #CU,"[-105.2572079, 40.0017696]"
24,2013-12-29 05:09:43+00:00,"""@slv_911: Snow is falling in parts of the #SLV. Road conditons can change rapidly. Drive carefully! #cowx""","[-106.0145282, 38.5350477]"
25,2013-12-29 03:28:41+00:00,Snow! Pics anyone? #cowx http://t.co/nLHnApq7og,"[-104.976711, 39.688864]"
26,2013-12-30 11:21:35+00:00,"What's going on in #Boulder, #Colorado? Check out this great new app for news and weather! http://t.co/m16tVbvRTE","[-105.27056, 40.01533]"
27,2013-12-29 22:41:45+00:00,We went north of Prague today to visit an old friend! @summerstudy #boulder #colorado #seeyouinsochi @… http://t.co/4hOolwZuNh,"[14.60583556, 50.1575859]"
28,2013-12-29 22:49:37+00:00,@_nataliebeal HAHAHAHAHAHA @keirpolczynski you heard this? It rate would work though hahahaha #boulder,"[-1.41406024, 53.23111531]"
29,2013-12-29 18:28:59+00:00,One of my first stops in #Boulder. #itsbeentoolong http://t.co/AvivnhgoeN,"[-105.25668718, 40.02197219]"
30,2013-12-30 16:36:04+00:00,All this road construction doesn't help for shit. I stay sitting in traffic when I go west into the hills #cdot #blow #me,"[-105.63153159, 39.76510354]"
31,2013-12-30 00:40:48+00:00,#Reading lights the way! #boulder #bookworm #shopsmall #shoplocal #recycle @ The Bookworm http://t.co/pmRYlcP9he,"[-105.25902271, 40.03201777]"
32,2013-12-29 20:14:14+00:00,"Jameson isn't sure why we're making this road trip again. See you eventually, #Boulder! http://t.co/AcDfy3P2UR","[-88.1459278, 41.50812894]"
33,2013-12-29 06:18:03+00:00,CU vs Georgia.  Buffs win 84-70.  #gobuffs #boulder #colorado #rolltad #cualumni #ralphiestompsuga @… http://t.co/5ECt3lKTLd,"[-105.26070663, 40.00478673]"
34,2013-12-29 06:10:27+00:00,Snow. I'm over it. #cowx,"[-104.8431887, 38.84917136]"
35,2013-12-29 08:57:27+00:00,One last #ride on #LakeGarda #Desenzano before heading back to #boulder today @ Chillbeach Rivoltella http://t.co/cdvmmZxYHG,"[10.57565403, 45.46021271]"
36,2013-12-29 01:06:35+00:00,#boulder at night @ Mount Sanitas Summit http://t.co/zRjRDoPOd8,"[-105.30527097, 40.034365]"
37,2013-12-30 08:12:52+00:00,"What's going on in #Boulder, #Colorado? Check out this great new app for news and weather! http://t.co/AVpOnsDgUb","[-105.2752, 40.0178]"
38,2013-12-29 16:40:35+00:00,RT @denverpost: Many homes in four counties hardest-hit by Sept. floods are not in the floodplain: http://t.co/S9HbNcYAJb #coflood,"[-105.03956075, 39.78155952]"
39,2013-12-30 02:21:21+00:00,"#Photography #scene #cold #sunday #Mountains #boulder #island @ Bariloche, Argentina http://t.co/6VBnAekd6b","[-71.35274734, -41.12806761]"
40,2013-12-30 14:10:13+00:00,Giving public transportation a go. #rtd #denver #boulder @ Smelly Refineries http://t.co/dYbtBzR5jg,"[-104.93628729, 39.80240896]"
41,2013-12-29 04:37:37+00:00,Tea. #Boulder @ Dushanbe Teahouse http://t.co/Dm0DAS9Gf9,"[-105.27725101, 40.01544423]"
42,2013-12-29 20:33:01+00:00,Amazing run around walker ranch. #coloradodreaming #mansbestfriend #boulder #naturesgift http://t.co/ZKQGTfWGqS,"[-105.26212653, 40.01516102]"
43,2013-12-29 16:53:00+00:00,"COLORADO - BOULDER  
IT'S VERY COLD NOW 
#Boulder 
#Denver 
#springst 
#colorad http://t.co/mjwi8nDkqb","[-105.2574889, 40.0034159]"
44,2013-12-26 22:56:15+00:00,Awesome bike ride today on my sister's new beach cruiser. #Boulder Creek path. Surprisingly quiet.,"[-105.20772756, 40.00584186]"
45,2013-12-28 18:14:22+00:00,5 mike run done and guilt eased #getfit #Boulder,"[-105.24928735, 40.01595971]"
46,2013-12-27 04:01:53+00:00,Beautiful #boulder http://t.co/rGXN7YaIq1,"[-105.28545909, 40.01330419]"
47,2013-12-27 17:42:12+00:00,#boulder #colorado #skyscape and #cloudporn of the day! @ northern lights http://t.co/4rZ5pILWCZ,"[-105.27615608, 40.0599369]"
48,2013-12-26 22:50:02+00:00,Seeing American hustle with the fam!!! #ilovethemovies!! #boulder #americanhustle @ Cinemark Century… http://t.co/SFr5R5KESe,"[-105.25451168, 40.01727291]"
49,2013-12-28 02:59:18+00:00,Snuggled up by the fire. #blazing #bright #winter #boulder #colorado #snugglethis #ineedsmorestuff… http://t.co/YqsHINFICo,"[-105.25598833, 40.01055278]"
50,2013-12-28 13:21:29+00:00,Looks like I'll be sparring with @garyvee today #jjjrh #Boulder http://t.co/Nfcjad6YBx,"[-105.20732992, 40.00614566]"
51,2013-12-28 23:23:45+00:00,"I came, I tasted, I conquered. #boulder #colorado #beer #craftbeer averybrewingco @ Avery Brewing Company http://t.co/B3049vogqe","[-105.219066, 40.01697237]"
52,2013-12-26 21:40:20+00:00,I like @TeamACW doing the drive. He needs some more airtime with Danny and cdot! #610sports,"[-93.73343688, 38.76997684]"
53,2013-12-27 23:09:15+00:00,Next stop! Sanitas Brewing! #Boulder http://t.co/4KoURX7uLv,"[-105.24770991, 40.02144309]"
54,2013-12-26 19:28:11+00:00,My next Subaru #boulder #flatironssubaru @ Flatiron Subaru http://t.co/Sh0yDfxJ9C,"[-105.21330888, 40.015358]"
55,2013-12-27 00:11:36+00:00,Saved countless innocent town folk from being crushed by this  #falling #boulder #rock #climbing… http://t.co/K2PrvyQgQ2,"[-119.6441212, 34.42539547]"
56,2013-12-28 22:02:11+00:00,I love @luckysmarket.  So playful. #grapefruit #boulder #colorado @ Lucky's Market http://t.co/3dCu4DZD7p,"[-105.28110643, 40.04759137]"
57,2013-12-27 19:01:17+00:00,Veggie meatloaf spinach kale and polenta! #boulder #baby #food @ The Kitchen [NEXT DOOR] http://t.co/c6d8p8MGQR,"[-105.28177053, 40.01763195]"
58,2013-12-28 20:17:18+00:00,#ColoradoStrong #ArapahoeHigh @ Arapahoe High School http://t.co/MMv3dptG8x,"[-104.96398114, 39.58144542]"
59,2013-12-26 20:24:18+00:00,Home Sweet Home! #1123IPA #WalnutBrewery #Boulder (@ Walnut Brewery w/ 3 others) [pic]: http://t.co/HysoFdneK0,"[-105.28036773, 40.01684194]"
60,2013-12-28 22:56:38+00:00,A is for Awesome. #beer #craftbeer #boulder #colorado @ Avery Brewing Company http://t.co/lGwU2wZiGu,"[-105.219066, 40.01697237]"
61,2013-12-28 23:31:32+00:00,The #puppy and the #roomate #hiking at #flagstaff in #boulder #colorado #nature #vscocam @ Boulder… http://t.co/p341iYaIFo,"[-105.29260509, 40.00182933]"
62,2013-12-28 21:47:15+00:00,Ride for Claire. #ArapahoeHigh #ColoradoStrong #WarriorStrong (@ Old Chicago w/ 2 others) [pic]: http://t.co/LVd3VX0mT3,"[-104.98893537, 39.57165098]"
63,2013-12-28 12:52:34+00:00,"looking for #cycling social media 
person to cover @letouryorkshire #tdf2014 cultural festival and first days of @letouryorkshire #Boulder","[-105.20728811, 40.00613616]"
64,2013-12-28 16:34:43+00:00,"Good morning, lovely neighborhood of mine. Nothing like winter mornings in #Boulder @beanaman http://t.co/Pd558TjFcx","[-105.28020085, 40.02670927]"
65,2013-12-27 21:15:46+00:00,"Roasted duck, frisée and a poached egg. #boulder #lunch @ The Kitchen Boulder http://t.co/d2pZmnOqwx","[-105.28163628, 40.01762911]"
66,2013-12-27 21:09:24+00:00,This makes me so sad! Roma forever #caferoma #boulder #foreverremembered #rip @ Espresso Roma http://t.co/GvcCU9spIA,"[-105.27638933, 40.00737868]"
67,2013-12-27 01:40:26+00:00,#boulder #shake #milkstout #beer #beerculture #nyc @ Beer Culture http://t.co/G6VUoL3y9f,"[-73.989724, 40.759585]"
68,2013-12-27 02:30:34+00:00,Love these cups and they always remind me of #southafrica #minttea #boulder @ Unagi's Palace http://t.co/B7fR6pClUU,"[-105.28385113, 40.02542678]"
69,2013-12-27 14:28:58+00:00,@becksanders meathead not my thing #boulder #ogre #shrek,"[0.1542647, 51.45721193]"
70,2013-12-28 05:02:15+00:00,"Check out the weather for #Boulder, #Colorado here! http://t.co/cnBmKWXY3G","[-105.27044, 40.0152]"
